日期,市,省,比例
2020-01-01,凉山彝族自治州,四川,0.0701
2020-01-01,毕节,贵州,0.0695
2020-01-01,六盘水,贵州,0.053399999999999996
2020-01-01,宜宾,四川,0.047400000000000005
2020-01-01,东莞,广东,0.0351
2020-01-01,成都,四川,0.0332
2020-01-01,重庆,重庆,0.0317
2020-01-01,黔西南布依族苗族自治州,贵州,0.0259
2020-01-01,深圳,广东,0.0252
2020-01-01,广州,广东,0.023
2020-01-01,金华,浙江,0.0212
2020-01-01,攀枝花,四川,0.021099999999999997
2020-01-01,百色,广西,0.0206
2020-01-01,上海,上海,0.019299999999999998
2020-01-01,贵阳,贵州,0.018799999999999997
2020-01-01,嘉兴,浙江,0.0182
2020-01-01,北京,北京,0.0179
2020-01-01,佛山,广东,0.0146
2020-01-01,宁波,浙江,0.0134
2020-01-01,苏州,江苏,0.0127
2020-01-01,杭州,浙江,0.012
2020-01-01,温州,浙江,0.011200000000000002
2020-01-01,惠州,广东,0.010700000000000001
2020-01-01,南宁,广西,0.009899999999999999
2020-01-01,绍兴,浙江,0.0085
2020-01-01,武汉,湖北,0.0085
2020-01-01,中山,广东,0.0084
2020-01-01,泸州,四川,0.0084
2020-01-01,台州,浙江,0.0077
2020-01-01,泉州,福建,0.0077
2020-01-01,福州,福建,0.0074
2020-01-01,长沙,湖南,0.0073
2020-01-01,湖州,浙江,0.0073
2020-01-01,江门,广东,0.006999999999999999
2020-01-01,西安,陕西,0.0069
2020-01-01,汕头,广东,0.006500000000000001
2020-01-01,天津,天津,0.0063
2020-01-01,厦门,福建,0.0062
2020-01-01,无锡,江苏,0.0060999999999999995
2020-01-01,安顺,贵州,0.0058
2020-01-01,郑州,河南,0.0055000000000000005
2020-01-01,遵义,贵州,0.0054
2020-01-01,南京,江苏,0.0054
2020-01-01,常州,江苏,0.0045000000000000005
2020-01-01,甘孜藏族自治州,四川,0.0040999999999999995
2020-01-01,北海,广西,0.004
2020-01-01,珠海,广东,0.0038
2020-01-01,自贡,四川,0.0036
2020-01-01,石家庄,河北,0.0036
2020-01-01,乐山,四川,0.0032
2020-01-02,东莞,广东,0.0421
2020-01-02,重庆,重庆,0.0387
2020-01-02,毕节,贵州,0.0358
2020-01-02,成都,四川,0.0344
2020-01-02,金华,浙江,0.0322
2020-01-02,凉山彝族自治州,四川,0.0316
2020-01-02,六盘水,贵州,0.0315
2020-01-02,深圳,广东,0.0313
2020-01-02,广州,广东,0.0271
2020-01-02,嘉兴,浙江,0.0253
2020-01-02,上海,上海,0.024300000000000002
2020-01-02,北京,北京,0.0236
2020-01-02,贵阳,贵州,0.0213
2020-01-02,宜宾,四川,0.02
2020-01-02,苏州,江苏,0.0176
2020-01-02,佛山,广东,0.0173
2020-01-02,宁波,浙江,0.0165
2020-01-02,杭州,浙江,0.015600000000000001
2020-01-02,黔西南布依族苗族自治州,贵州,0.0146
2020-01-02,攀枝花,四川,0.013600000000000001
2020-01-02,温州,浙江,0.0129
2020-01-02,台州,浙江,0.0124
2020-01-02,惠州,广东,0.0123
2020-01-02,百色,广西,0.011899999999999999
2020-01-02,湖州,浙江,0.0108
2020-01-02,中山,广东,0.0106
2020-01-02,南宁,广西,0.0102
2020-01-02,武汉,湖北,0.0101
2020-01-02,绍兴,浙江,0.0091
2020-01-02,泉州,福建,0.009000000000000001
2020-01-02,厦门,福建,0.009000000000000001
2020-01-02,天津,天津,0.0089
2020-01-02,长沙,湖南,0.0087
2020-01-02,西安,陕西,0.008199999999999999
2020-01-02,无锡,江苏,0.0077
2020-01-02,福州,福建,0.0076
2020-01-02,南京,江苏,0.0076
2020-01-02,江门,广东,0.0075
2020-01-02,汕头,广东,0.0072
2020-01-02,泸州,四川,0.0070999999999999995
2020-01-02,郑州,河南,0.0063
2020-01-02,遵义,贵州,0.005699999999999999
2020-01-02,安顺,贵州,0.0053
2020-01-02,合肥,安徽,0.0051
2020-01-02,常州,江苏,0.005
2020-01-02,内江,四川,0.0048
2020-01-02,珠海,广东,0.0046
2020-01-02,南通,江苏,0.0046
2020-01-02,石家庄,河北,0.0045000000000000005
2020-01-02,南昌,江西,0.0038
2020-01-03,凉山彝族自治州,四川,0.048799999999999996
2020-01-03,毕节,贵州,0.045599999999999995
2020-01-03,六盘水,贵州,0.0416
2020-01-03,重庆,重庆,0.0387
2020-01-03,成都,四川,0.037200000000000004
2020-01-03,宜宾,四川,0.032799999999999996
2020-01-03,东莞,广东,0.0323
2020-01-03,深圳,广东,0.0259
2020-01-03,金华,浙江,0.0252
2020-01-03,广州,广东,0.024700000000000003
2020-01-03,上海,上海,0.0236
2020-01-03,贵阳,贵州,0.0231
2020-01-03,北京,北京,0.0219
2020-01-03,黔西南布依族苗族自治州,贵州,0.0212
2020-01-03,嘉兴,浙江,0.0197
2020-01-03,攀枝花,四川,0.0183
2020-01-03,百色,广西,0.0154
2020-01-03,佛山,广东,0.0146
2020-01-03,苏州,江苏,0.0139
2020-01-03,宁波,浙江,0.013000000000000001
2020-01-03,杭州,浙江,0.0129
2020-01-03,南宁,广西,0.0113
2020-01-03,温州,浙江,0.0109
2020-01-03,武汉,湖北,0.0105
2020-01-03,惠州,广东,0.0104
2020-01-03,台州,浙江,0.0103
2020-01-03,天津,天津,0.009000000000000001
2020-01-03,西安,陕西,0.009000000000000001
2020-01-03,泸州,四川,0.0086
2020-01-03,长沙,湖南,0.0085
2020-01-03,中山,广东,0.008199999999999999
2020-01-03,厦门,福建,0.008100000000000001
2020-01-03,无锡,江苏,0.0075
2020-01-03,泉州,福建,0.0074
2020-01-03,绍兴,浙江,0.0074
2020-01-03,福州,福建,0.0074
2020-01-03,郑州,河南,0.0070999999999999995
2020-01-03,湖州,浙江,0.006999999999999999
2020-01-03,南京,江苏,0.0069
2020-01-03,江门,广东,0.0063
2020-01-03,遵义,贵州,0.0062
2020-01-03,安顺,贵州,0.006
2020-01-03,内江,四川,0.0054
2020-01-03,南昌,江西,0.0052
2020-01-03,珠海,广东,0.005
2020-01-03,济南,山东,0.0046
2020-01-03,汕头,广东,0.0044
2020-01-03,青岛,山东,0.0044
2020-01-03,南通,江苏,0.0042
2020-01-03,石家庄,河北,0.0042
2020-01-04,凉山彝族自治州,四川,0.0518
2020-01-04,毕节,贵州,0.0492
2020-01-04,六盘水,贵州,0.0414
2020-01-04,重庆,重庆,0.038900000000000004
2020-01-04,宜宾,四川,0.0374
2020-01-04,成都,四川,0.0366
2020-01-04,东莞,广东,0.0278
2020-01-04,金华,浙江,0.026699999999999998
2020-01-04,深圳,广东,0.0252
2020-01-04,广州,广东,0.023799999999999998
2020-01-04,上海,上海,0.023799999999999998
2020-01-04,北京,北京,0.0219
2020-01-04,黔西南布依族苗族自治州,贵州,0.0203
2020-01-04,贵阳,贵州,0.0199
2020-01-04,嘉兴,浙江,0.0197
2020-01-04,攀枝花,四川,0.0191
2020-01-04,百色,广西,0.0179
2020-01-04,苏州,江苏,0.013600000000000001
2020-01-04,佛山,广东,0.013300000000000001
2020-01-04,宁波,浙江,0.0132
2020-01-04,杭州,浙江,0.0131
2020-01-04,温州,浙江,0.0118
2020-01-04,长沙,湖南,0.0106
2020-01-04,惠州,广东,0.0101
2020-01-04,南宁,广西,0.01
2020-01-04,台州,浙江,0.01
2020-01-04,武汉,湖北,0.0098
2020-01-04,天津,天津,0.0091
2020-01-04,厦门,福建,0.0084
2020-01-04,西安,陕西,0.0083
2020-01-04,郑州,河南,0.008100000000000001
2020-01-04,中山,广东,0.0079
2020-01-04,无锡,江苏,0.0077
2020-01-04,绍兴,浙江,0.0074
2020-01-04,泸州,四川,0.0073
2020-01-04,南京,江苏,0.0073
2020-01-04,泉州,福建,0.0072
2020-01-04,福州,福建,0.0070999999999999995
2020-01-04,湖州,浙江,0.0067
2020-01-04,遵义,贵州,0.006
2020-01-04,江门,广东,0.0055000000000000005
2020-01-04,南昌,江西,0.0049
2020-01-04,珠海,广东,0.0048
2020-01-04,安顺,贵州,0.0046
2020-01-04,汕头,广东,0.0045000000000000005
2020-01-04,济南,山东,0.0044
2020-01-04,自贡,四川,0.0040999999999999995
2020-01-04,甘孜藏族自治州,四川,0.004
2020-01-04,常州,江苏,0.004
2020-01-04,合肥,安徽,0.0039000000000000003
2020-01-05,凉山彝族自治州,四川,0.0516
2020-01-05,毕节,贵州,0.0496
2020-01-05,成都,四川,0.0392
2020-01-05,六盘水,贵州,0.0388
2020-01-05,宜宾,四川,0.0382
2020-01-05,重庆,重庆,0.0371
2020-01-05,金华,浙江,0.0298
2020-01-05,东莞,广东,0.026600000000000002
2020-01-05,广州,广东,0.0259
2020-01-05,上海,上海,0.0253
2020-01-05,深圳,广东,0.024300000000000002
2020-01-05,黔西南布依族苗族自治州,贵州,0.0212
2020-01-05,嘉兴,浙江,0.0207
2020-01-05,北京,北京,0.0206
2020-01-05,贵阳,贵州,0.0195
2020-01-05,攀枝花,四川,0.018000000000000002
2020-01-05,百色,广西,0.0178
2020-01-05,佛山,广东,0.0144
2020-01-05,苏州,江苏,0.0141
2020-01-05,杭州,浙江,0.0139
2020-01-05,温州,浙江,0.0131
2020-01-05,宁波,浙江,0.012
2020-01-05,台州,浙江,0.0109
2020-01-05,惠州,广东,0.0103
2020-01-05,武汉,湖北,0.0102
2020-01-05,长沙,湖南,0.0101
2020-01-05,南宁,广西,0.009899999999999999
2020-01-05,西安,陕西,0.0096
2020-01-05,中山,广东,0.008100000000000001
2020-01-05,绍兴,浙江,0.0079
2020-01-05,天津,天津,0.0077
2020-01-05,郑州,河南,0.0077
2020-01-05,泉州,福建,0.0075
2020-01-05,湖州,浙江,0.0075
2020-01-05,泸州,四川,0.0073
2020-01-05,厦门,福建,0.0073
2020-01-05,福州,福建,0.0069
2020-01-05,南京,江苏,0.0069
2020-01-05,无锡,江苏,0.0067
2020-01-05,江门,广东,0.006500000000000001
2020-01-05,南昌,江西,0.005699999999999999
2020-01-05,遵义,贵州,0.0052
2020-01-05,珠海,广东,0.0051
2020-01-05,济南,山东,0.0048
2020-01-05,常州,江苏,0.0046
2020-01-05,安顺,贵州,0.0045000000000000005
2020-01-05,汕头,广东,0.0044
2020-01-05,南通,江苏,0.0042
2020-01-05,北海,广西,0.0042
2020-01-05,青岛,山东,0.0038
2020-01-06,毕节,贵州,0.05
2020-01-06,凉山彝族自治州,四川,0.0496
2020-01-06,成都,四川,0.0404
2020-01-06,六盘水,贵州,0.038599999999999995
2020-01-06,重庆,重庆,0.0355
2020-01-06,宜宾,四川,0.0347
2020-01-06,金华,浙江,0.0319
2020-01-06,东莞,广东,0.027200000000000002
2020-01-06,广州,广东,0.0253
2020-01-06,上海,上海,0.0252
2020-01-06,北京,北京,0.0252
2020-01-06,深圳,广东,0.023700000000000002
2020-01-06,嘉兴,浙江,0.02
2020-01-06,贵阳,贵州,0.0194
2020-01-06,黔西南布依族苗族自治州,贵州,0.0187
2020-01-06,百色,广西,0.0165
2020-01-06,攀枝花,四川,0.0161
2020-01-06,佛山,广东,0.0161
2020-01-06,苏州,江苏,0.0144
2020-01-06,温州,浙江,0.0137
2020-01-06,杭州,浙江,0.0137
2020-01-06,宁波,浙江,0.0129
2020-01-06,武汉,湖北,0.0118
2020-01-06,惠州,广东,0.011200000000000002
2020-01-06,台州,浙江,0.0111
2020-01-06,长沙,湖南,0.0102
2020-01-06,南宁,广西,0.01
2020-01-06,中山,广东,0.009300000000000001
2020-01-06,绍兴,浙江,0.0088
2020-01-06,西安,陕西,0.0087
2020-01-06,天津,天津,0.0086
2020-01-06,泉州,福建,0.008100000000000001
2020-01-06,郑州,河南,0.0073
2020-01-06,湖州,浙江,0.0072
2020-01-06,福州,福建,0.0070999999999999995
2020-01-06,南京,江苏,0.0070999999999999995
2020-01-06,江门,广东,0.0070999999999999995
2020-01-06,无锡,江苏,0.006999999999999999
2020-01-06,厦门,福建,0.0069
2020-01-06,泸州,四川,0.0060999999999999995
2020-01-06,遵义,贵州,0.0055000000000000005
2020-01-06,珠海,广东,0.005
2020-01-06,南昌,江西,0.005
2020-01-06,汕头,广东,0.0049
2020-01-06,安顺,贵州,0.0048
2020-01-06,常州,江苏,0.004699999999999999
2020-01-06,南通,江苏,0.0045000000000000005
2020-01-06,北海,广西,0.0042
2020-01-06,哈尔滨,黑龙江,0.0038
2020-01-06,甘孜藏族自治州,四川,0.0037
2020-01-07,毕节,贵州,0.049400000000000006
2020-01-07,凉山彝族自治州,四川,0.046799999999999994
2020-01-07,六盘水,贵州,0.038599999999999995
2020-01-07,成都,四川,0.0369
2020-01-07,重庆,重庆,0.0362
2020-01-07,宜宾,四川,0.0337
2020-01-07,金华,浙江,0.030699999999999998
2020-01-07,东莞,广东,0.0281
2020-01-07,广州,广东,0.027000000000000003
2020-01-07,深圳,广东,0.026099999999999998
2020-01-07,上海,上海,0.0258
2020-01-07,北京,北京,0.023700000000000002
2020-01-07,贵阳,贵州,0.02
2020-01-07,嘉兴,浙江,0.0181
2020-01-07,黔西南布依族苗族自治州,贵州,0.0181
2020-01-07,攀枝花,四川,0.016399999999999998
2020-01-07,佛山,广东,0.016399999999999998
2020-01-07,百色,广西,0.015700000000000002
2020-01-07,温州,浙江,0.0141
2020-01-07,杭州,浙江,0.0134
2020-01-07,苏州,江苏,0.0134
2020-01-07,宁波,浙江,0.0124
2020-01-07,武汉,湖北,0.011899999999999999
2020-01-07,惠州,广东,0.011399999999999999
2020-01-07,南宁,广西,0.0108
2020-01-07,长沙,湖南,0.010700000000000001
2020-01-07,台州,浙江,0.0104
2020-01-07,天津,天津,0.009899999999999999
2020-01-07,中山,广东,0.009399999999999999
2020-01-07,泉州,福建,0.0089
2020-01-07,西安,陕西,0.0086
2020-01-07,厦门,福建,0.0085
2020-01-07,福州,福建,0.008199999999999999
2020-01-07,南京,江苏,0.008199999999999999
2020-01-07,绍兴,浙江,0.0079
2020-01-07,江门,广东,0.0070999999999999995
2020-01-07,郑州,河南,0.0069
2020-01-07,湖州,浙江,0.0066
2020-01-07,泸州,四川,0.006500000000000001
2020-01-07,无锡,江苏,0.0063
2020-01-07,济南,山东,0.0058
2020-01-07,南昌,江西,0.0055000000000000005
2020-01-07,遵义,贵州,0.0055000000000000005
2020-01-07,汕头,广东,0.0052
2020-01-07,安顺,贵州,0.0049
2020-01-07,珠海,广东,0.0046
2020-01-07,南通,江苏,0.0043
2020-01-07,北海,广西,0.0042
2020-01-07,常州,江苏,0.0040999999999999995
2020-01-07,石家庄,河北,0.0037
2020-01-08,凉山彝族自治州,四川,0.0454
2020-01-08,毕节,贵州,0.0454
2020-01-08,六盘水,贵州,0.0375
2020-01-08,成都,四川,0.0363
2020-01-08,金华,浙江,0.0351
2020-01-08,重庆,重庆,0.0335
2020-01-08,宜宾,四川,0.0322
2020-01-08,广州,广东,0.0286
2020-01-08,东莞,广东,0.0285
2020-01-08,上海,上海,0.0268
2020-01-08,深圳,广东,0.026699999999999998
2020-01-08,北京,北京,0.021099999999999997
2020-01-08,贵阳,贵州,0.0196
2020-01-08,嘉兴,浙江,0.0194
2020-01-08,黔西南布依族苗族自治州,贵州,0.0175
2020-01-08,佛山,广东,0.0163
2020-01-08,杭州,浙江,0.015700000000000002
2020-01-08,温州,浙江,0.0155
2020-01-08,攀枝花,四川,0.0154
2020-01-08,百色,广西,0.015300000000000001
2020-01-08,武汉,湖北,0.013999999999999999
2020-01-08,苏州,江苏,0.013600000000000001
2020-01-08,台州,浙江,0.012199999999999999
2020-01-08,惠州,广东,0.0121
2020-01-08,宁波,浙江,0.0121
2020-01-08,南宁,广西,0.011399999999999999
2020-01-08,长沙,湖南,0.0108
2020-01-08,天津,天津,0.0095
2020-01-08,中山,广东,0.0095
2020-01-08,泉州,福建,0.009000000000000001
2020-01-08,南京,江苏,0.0086
2020-01-08,西安,陕西,0.0084
2020-01-08,福州,福建,0.008100000000000001
2020-01-08,绍兴,浙江,0.0079
2020-01-08,湖州,浙江,0.0079
2020-01-08,厦门,福建,0.0075
2020-01-08,郑州,河南,0.0074
2020-01-08,江门,广东,0.0069
2020-01-08,无锡,江苏,0.0067
2020-01-08,泸州,四川,0.006500000000000001
2020-01-08,南昌,江西,0.005699999999999999
2020-01-08,珠海,广东,0.0052
2020-01-08,遵义,贵州,0.005
2020-01-08,济南,山东,0.004699999999999999
2020-01-08,南通,江苏,0.0046
2020-01-08,安顺,贵州,0.0045000000000000005
2020-01-08,汕头,广东,0.0044
2020-01-08,北海,广西,0.0042
2020-01-08,青岛,山东,0.0042
2020-01-08,常州,江苏,0.0039000000000000003
2020-01-09,毕节,贵州,0.0403
2020-01-09,凉山彝族自治州,四川,0.04019999999999999
2020-01-09,金华,浙江,0.04
2020-01-09,成都,四川,0.0344
2020-01-09,东莞,广东,0.032799999999999996
2020-01-09,六盘水,贵州,0.0325
2020-01-09,重庆,重庆,0.0321
2020-01-09,宜宾,四川,0.027999999999999997
2020-01-09,深圳,广东,0.027200000000000002
2020-01-09,广州,广东,0.0259
2020-01-09,上海,上海,0.0242
2020-01-09,嘉兴,浙江,0.0226
2020-01-09,北京,北京,0.021400000000000002
2020-01-09,温州,浙江,0.0197
2020-01-09,台州,浙江,0.0187
2020-01-09,贵阳,贵州,0.0179
2020-01-09,苏州,江苏,0.0174
2020-01-09,佛山,广东,0.0171
2020-01-09,黔西南布依族苗族自治州,贵州,0.0166
2020-01-09,杭州,浙江,0.016399999999999998
2020-01-09,百色,广西,0.0149
2020-01-09,宁波,浙江,0.014199999999999999
2020-01-09,攀枝花,四川,0.0137
